device_name	core	die	ram_kb	flash_kb	core_count
STM32F207ZGTx	Cortex-M3	DIE411	128	1024	1
STM32F215RETx	Cortex-M3	DIE411	128	512	1
STM32F215RGTx	Cortex-M3	DIE411	128	1024	1
STM32F215VETx	Cortex-M3	DIE411	128	512	1
STM32F215VGTx	Cortex-M3	DIE411	128	1024	1
STM32F215ZETx	Cortex-M3	DIE411	128	512	1
STM32F215ZGTx	Cortex-M3	DIE411	128	1024	1
STM32F217IEHx	Cortex-M3	DIE411	128	512	1
STM32F217IETx	Cortex-M3	DIE411	128	512	1
STM32F217IGHx	Cortex-M3	DIE411	128	1024	1
STM32F217IGTx	Cortex-M3	DIE411	128	1024	1
STM32F217VETx	Cortex-M3	DIE411	128	512	1
STM32F217VGTx	Cortex-M3	DIE411	128	1024	1
STM32F217ZETx	Cortex-M3	DIE411	128	512	1
STM32F217ZGTx	Cortex-M3	DIE411	128	1024	1
STM32F301C6Tx	Cortex-M4	DIE439	16	32	1
STM32F301C8Tx	Cortex-M4	DIE439	16	64	1
STM32F301C8Yx	Cortex-M4	DIE439	16	64	1
STM32F301K6Tx	Cortex-M4	DIE439	16	32	1
STM32F301K6Ux	Cortex-M4	DIE439	16	32	1
STM32F301K8Tx	Cortex-M4	DIE439	16	64	1
STM32F301K8Ux	Cortex-M4	DIE439	16	64	1
STM32F301R6Tx	Cortex-M4	DIE439	16	32	1
STM32F301R8Tx	Cortex-M4	DIE439	16	64	1
STM32F302C6Tx	Cortex-M4	DIE439	16	32	1
STM32F302C8Tx	Cortex-M4	DIE439	16	64	1
STM32F302C8Yx	Cortex-M4	DIE439	16	64	1
STM32F302CBTx	Cortex-M4	DIE422	32	128	1
STM32F302CCTx	Cortex-M4	DIE422	40	256	1
STM32F302K6Ux	Cortex-M4	DIE439	16	32	1
STM32F302K8Ux	Cortex-M4	DIE439	16	64	1
STM32F302R6Tx	Cortex-M4	DIE439	16	32	1
STM32F302R8Tx	Cortex-M4	DIE439	16	64	1
STM32F302RBTx	Cortex-M4	DIE422	32	128	1
